quarter,role_family,level,technology,demand,internal_fulfilled,external_hires,cost_estimated
2025Q2,DevOps,Junior,SQL,0.21,0.21,0.0,11600.0
2025Q2,DevOps,Mid,SQL,0.5,0.5,0.0,11600.0
2025Q2,DevOps,Senior,SQL,0.5,0.5,0.0,11600.0
2025Q2,DevOps,Lead,SQL,0.17,0.17,0.0,11600.0
2025Q2,DevOps,Principal,SQL,0.04,0.04,0.0,11600.0
2025Q2,Backend,Junior,SQL,0.07,0.07,0.0,11600.0
2025Q2,Backend,Mid,SQL,0.17,0.17,0.0,11600.0
2025Q2,Backend,Senior,SQL,0.17,0.17,0.0,11600.0
2025Q2,Backend,Lead,SQL,0.06,0.06,0.0,11600.0
2025Q2,Backend,Principal,SQL,0.01,0.01,0.0,11600.0
2025Q2,MLE,Junior,SQL,0.07,0.0,0.07,13000.0
2025Q2,MLE,Mid,SQL,0.17,0.0,0.17,16400.0
2025Q2,MLE,Senior,SQL,0.17,0.0,0.17,19800.0
2025Q2,MLE,Lead,SQL,0.06,0.0,0.06,21000.0
2025Q2,MLE,Principal,SQL,0.01,0.0,0.01,21200.0
2025Q2,PM,Senior,SQL,0.24,0.24,0.0,21200.0
2025Q2,PM,Lead,SQL,0.19,0.19,0.0,21200.0
2025Q2,PM,Principal,SQL,0.05,0.05,0.0,21200.0
2025Q2,QA,Junior,SQL,0.12,0.12,0.0,21200.0
2025Q2,QA,Mid,SQL,0.21,0.21,0.0,21200.0
2025Q2,QA,Senior,SQL,0.12,0.12,0.0,21200.0
2025Q2,QA,Lead,SQL,0.02,0.02,0.0,21200.0
2025Q3,DataEng,Junior,SQL,0.37,0.37,0.0,21200.0
2025Q3,DataEng,Mid,SQL,0.87,0.87,0.0,21200.0
2025Q3,DataEng,Senior,SQL,0.87,0.87,0.0,21200.0
2025Q3,DataEng,Lead,SQL,0.3,0.3,0.0,21200.0
2025Q3,DataEng,Principal,SQL,0.07,0.07,0.0,21200.0
2025Q3,DevOps,Junior,SQL,0.22,0.22,0.0,21200.0
2025Q3,DevOps,Mid,SQL,0.52,0.52,0.0,21200.0
2025Q3,DevOps,Senior,SQL,0.52,0.52,0.0,21200.0
2025Q3,DevOps,Lead,SQL,0.18,0.18,0.0,21200.0
2025Q3,DevOps,Principal,SQL,0.04,0.04,0.0,21200.0
2025Q3,Backend,Junior,SQL,0.07,0.07,0.0,21200.0
2025Q3,Backend,Mid,SQL,0.17,0.17,0.0,21200.0
2025Q3,Backend,Senior,SQL,0.17,0.17,0.0,21200.0
2025Q3,Backend,Lead,SQL,0.06,0.06,0.0,21200.0
2025Q3,Backend,Principal,SQL,0.01,0.01,0.0,21200.0
2025Q3,MLE,Junior,SQL,0.07,0.0,0.07,22600.0
2025Q3,MLE,Mid,SQL,0.17,0.0,0.17,26000.0
2025Q3,MLE,Senior,SQL,0.17,0.0,0.17,29400.0
2025Q3,MLE,Lead,SQL,0.06,0.0,0.06,30600.0
2025Q3,MLE,Principal,SQL,0.01,0.0,0.01,30800.0
2025Q3,PM,Senior,SQL,0.25,0.25,0.0,30800.0
2025Q3,PM,Lead,SQL,0.2,0.2,0.0,30800.0
2025Q3,PM,Principal,SQL,0.05,0.05,0.0,30800.0
2025Q3,QA,Junior,SQL,0.12,0.12,0.0,30800.0
2025Q3,QA,Mid,SQL,0.22,0.22,0.0,30800.0
2025Q3,QA,Senior,SQL,0.12,0.12,0.0,30800.0
2025Q3,QA,Lead,SQL,0.02,0.02,0.0,30800.0
