year,quarter,domain,technology,region,demand_index,median_salary,hiring_velocity,attrition_rate_est,remote_ratio
2020,1,Insurance,Python,India,13.13,79281.68,0.862,0.109,0.15
2020,1,Insurance,Python,,19.33,115284.75,0.625,0.141,0.069
2020,1,Insurance,Java,NA,39.43,135584.63,0.884,0.094,0.164
2020,1,Insurance,Java,EU,28.64,104181.62,0.758,0.11,0.155
2020,1,Insurance,Java,APAC,22.79,79746.37,0.736,0.118,0.223
2020,1,Insurance,Java,India,16.34,56566.79,0.744,0.128,0.095
2020,1,Insurance,Java,,24.07,80642.93,0.848,0.124,0.14
2020,1,Insurance,AWS,NA,40.64,140909.94,0.609,0.11,0.053
2020,1,Insurance,AWS,EU,28.54,110426.91,0.832,0.095,0.233
2020,1,Insurance,AWS,APAC,22.5,82827.03,0.874,0.139,0.066
2020,1,Insurance,AWS,India,15.42,58054.54,0.878,0.128,0.135
2020,1,Insurance,AWS,,23.29,81430.78,0.726,0.104,0.057
2020,1,Insurance,Azure,NA,44.65,164695.06,0.706,0.13,0.191
2020,1,Insurance,Azure,EU,33.83,125313.1,0.624,0.131,0.097
2020,1,Insurance,Azure,APAC,24.21,96856.92,0.638,0.117,0.141
2020,1,Insurance,Azure,India,18.56,67087.93,0.878,0.116,0.219
2020,1,Insurance,Azure,,24.18,93577.43,0.756,0.098,0.176
2020,1,Insurance,React,NA,38.91,144392.78,0.664,0.101,0.115
2020,1,Insurance,React,EU,31.78,109118.44,0.738,0.11,0.051
2020,1,Insurance,React,APAC,22.8,84774.96,0.822,0.116,0.102
2020,1,Insurance,React,India,18.1,61740.58,0.804,0.092,0.08
2020,1,Insurance,React,,24.0,81765.43,0.774,0.098,0.236
2020,1,Insurance,DevOps,NA,36.42,203143.73,0.641,0.139,0.11
2020,1,Insurance,DevOps,EU,30.55,159244.59,0.863,0.144,0.201
2020,1,Insurance,DevOps,APAC,23.44,121757.08,0.862,0.086,0.232
2020,1,Insurance,DevOps,India,17.1,84480.07,0.801,0.088,0.067
2020,1,Insurance,DevOps,,24.28,122447.14,0.677,0.105,0.116
2020,1,Insurance,DataSci,NA,39.71,137468.81,0.745,0.122,0.228
2020,1,Insurance,DataSci,EU,32.67,105639.15,0.724,0.138,0.178
2020,1,Insurance,DataSci,APAC,23.77,82602.75,0.736,0.096,0.126
2020,1,Insurance,DataSci,India,17.8,55040.22,0.782,0.144,0.13
2020,1,Insurance,DataSci,,24.55,81788.43,0.736,0.11,0.138
2020,1,Insurance,MLE,NA,40.69,183230.08,0.873,0.089,0.233
2020,1,Insurance,MLE,EU,32.43,138614.11,0.888,0.109,0.065
2020,1,Insurance,MLE,APAC,26.75,111078.3,0.834,0.089,0.193
2020,1,Insurance,MLE,India,15.48,74856.31,0.766,0.139,0.132
2020,1,Insurance,MLE,,24.23,105987.53,0.877,0.14,0.227
2020,1,Insurance,QA-Automation,NA,24.33,130504.2,0.802,0.103,0.198
2020,1,Insurance,QA-Automation,EU,17.32,99515.88,0.776,0.113,0.122
2020,1,Insurance,QA-Automation,APAC,13.49,73744.93,0.834,0.1,0.083
2020,1,Insurance,QA-Automation,India,8.5,51776.61,0.897,0.106,0.199
2020,1,Insurance,QA-Automation,,12.8,75085.14,0.738,0.087,0.101
2020,1,Insurance,Kubernetes,NA,27.79,192501.17,0.741,0.139,0.102
2020,1,Insurance,Kubernetes,EU,23.8,148454.47,0.799,0.086,0.171
2020,1,Insurance,Kubernetes,APAC,16.65,112567.75,0.894,0.115,0.052
2020,1,Insurance,Kubernetes,India,10.52,80604.39,0.787,0.093,0.148
2020,1,Insurance,Kubernetes,,15.36,111218.66,0.811,0.12,0.145
2020,1,FinTech,Python,NA,31.72,196404.33,0.9,0.127,0.159
2020,1,FinTech,Python,EU,21.32,149351.62,0.727,0.088,0.166
2020,1,FinTech,Python,APAC,19.45,114135.83,0.811,0.108,0.064
2020,1,FinTech,Python,India,12.95,78804.51,0.744,0.119,0.132
2020,1,FinTech,Python,,15.95,115232.69,0.858,0.12,0.163
2020,1,FinTech,Java,NA,37.45,137720.93,0.613,0.107,0.212
2020,1,FinTech,Java,EU,29.35,102504.92,0.632,0.15,0.218
2020,1,FinTech,Java,APAC,22.91,81987.18,0.658,0.119,0.244
2020,1,FinTech,Java,India,15.12,55518.73,0.754,0.087,0.242
2020,1,FinTech,Java,,23.51,80676.0,0.782,0.097,0.097
2020,1,FinTech,AWS,NA,38.24,140310.17,0.868,0.115,0.075
2020,1,FinTech,AWS,EU,29.18,108504.65,0.733,0.14,0.118
2020,1,FinTech,AWS,APAC,21.4,81637.57,0.603,0.082,0.193
2020,1,FinTech,AWS,India,16.28,55907.07,0.801,0.12,0.176
2020,1,FinTech,AWS,,24.88,80961.35,0.872,0.135,0.208
2020,1,FinTech,Azure,NA,43.43,163069.47,0.726,0.142,0.097
2020,1,FinTech,Azure,EU,35.02,125210.66,0.824,0.128,0.195
2020,1,FinTech,Azure,APAC,27.5,99305.74,0.863,0.123,0.24
2020,1,FinTech,Azure,India,17.05,68514.58,0.713,0.122,0.242
2020,1,FinTech,Azure,,26.71,94730.79,0.744,0.104,0.1
2020,1,FinTech,React,NA,40.46,142503.85,0.713,0.137,0.093
2020,1,FinTech,React,EU,29.66,110010.79,0.738,0.107,0.235
2020,1,FinTech,React,APAC,21.83,84617.35,0.726,0.114,0.227
2020,1,FinTech,React,India,17.43,56790.84,0.737,0.098,0.227
2020,1,FinTech,React,,24.65,83922.52,0.832,0.099,0.181
2020,1,FinTech,DevOps,NA,38.14,203276.27,0.855,0.134,0.113
2020,1,FinTech,DevOps,EU,27.25,155363.44,0.744,0.118,0.097
2020,1,FinTech,DevOps,APAC,22.82,121484.68,0.778,0.097,0.162
2020,1,FinTech,DevOps,India,13.83,83211.81,0.655,0.113,0.156
2020,1,FinTech,DevOps,,21.9,118541.74,0.726,0.148,0.189
2020,1,FinTech,DataSci,NA,40.66,140760.77,0.698,0.093,0.136
2020,1,FinTech,DataSci,EU,32.77,105806.9,0.727,0.1,0.2
2020,1,FinTech,DataSci,APAC,23.62,83256.01,0.681,0.138,0.142
2020,1,FinTech,DataSci,India,16.75,55504.01,0.605,0.127,0.247
2020,1,FinTech,DataSci,,22.87,83765.19,0.777,0.101,0.086
2020,1,FinTech,MLE,NA,40.84,185797.74,0.727,0.106,0.165
2020,1,FinTech,MLE,EU,32.44,142428.55,0.871,0.14,0.083
2020,1,FinTech,MLE,APAC,23.91,108072.51,0.774,0.132,0.226
2020,1,FinTech,MLE,India,19.19,78248.38,0.845,0.148,0.202
2020,1,FinTech,MLE,,22.79,110269.52,0.657,0.129,0.198
2020,1,FinTech,QA-Automation,NA,23.69,128146.32,0.705,0.118,0.064
2020,1,FinTech,QA-Automation,EU,17.82,97895.85,0.693,0.107,0.091
2020,1,FinTech,QA-Automation,APAC,13.9,79556.29,0.809,0.129,0.092
2020,1,FinTech,QA-Automation,India,10.0,55256.79,0.763,0.124,0.087
2020,1,FinTech,QA-Automation,,13.57,77517.43,0.653,0.085,0.178
2020,1,FinTech,Kubernetes,NA,30.65,192689.21,0.871,0.149,0.052
2020,1,FinTech,Kubernetes,EU,20.6,149067.97,0.734,0.094,0.069
2020,1,FinTech,Kubernetes,APAC,17.55,111771.06,0.75,0.097,0.165
2020,1,FinTech,Kubernetes,India,10.02,76083.68,0.681,0.12,0.181
2020,1,FinTech,Kubernetes,,18.3,114432.68,0.719,0.086,0.207
2020,1,Manufacturing,Python,NA,29.18,200848.98,0.804,0.086,0.16
2020,1,Manufacturing,Python,EU,22.21,152639.26,0.737,0.101,0.236
2020,1,Manufacturing,Python,APAC,18.25,114007.56,0.706,0.14,0.2
2020,1,Manufacturing,Python,India,11.33,82174.52,0.663,0.094,0.216
2020,1,Manufacturing,Python,,17.68,119426.19,0.7,0.145,0.128
2020,1,Manufacturing,Java,NA,36.9,139319.62,0.798,0.131,0.232
2020,1,Manufacturing,Java,EU,30.35,104602.85,0.79,0.115,0.131
2020,1,Manufacturing,Java,APAC,24.11,83201.37,0.899,0.094,0.052
2020,1,Manufacturing,Java,India,15.89,54424.66,0.75,0.109,0.23
2020,1,Manufacturing,Java,,21.19,81486.54,0.712,0.103,0.117
2020,1,Manufacturing,AWS,NA,39.51,141804.53,0.646,0.115,0.212
2020,1,Manufacturing,AWS,EU,30.83,110608.38,0.665,0.094,0.185
2020,1,Manufacturing,AWS,APAC,23.88,81096.33,0.789,0.127,0.138
2020,1,Manufacturing,AWS,India,17.94,56966.28,0.754,0.136,0.17
2020,1,Manufacturing,AWS,,24.91,85401.79,0.862,0.149,0.057
2020,1,Manufacturing,Azure,NA,43.26,164757.89,0.805,0.133,0.194
2020,1,Manufacturing,Azure,EU,32.12,127583.3,0.841,0.142,0.089
2020,1,Manufacturing,Azure,APAC,25.44,97672.85,0.71,0.082,0.13
2020,1,Manufacturing,Azure,India,16.26,64638.62,0.871,0.095,0.246
2020,1,Manufacturing,Azure,,25.2,94186.85,0.776,0.105,0.156
2020,1,Manufacturing,React,NA,41.09,143025.27,0.702,0.119,0.065
2020,1,Manufacturing,React,EU,29.77,108489.4,0.807,0.106,0.158
2020,1,Manufacturing,React,APAC,24.66,86662.13,0.847,0.096,0.055
2020,1,Manufacturing,React,India,16.22,56302.37,0.616,0.134,0.213
2020,1,Manufacturing,React,,22.64,82810.44,0.747,0.093,0.103
2020,1,Manufacturing,DevOps,NA,39.39,206282.31,0.874,0.086,0.2
2020,1,Manufacturing,DevOps,EU,28.19,155593.09,0.809,0.148,0.201
2020,1,Manufacturing,DevOps,APAC,22.31,119048.17,0.782,0.137,0.149
2020,1,Manufacturing,DevOps,India,16.78,86541.19,0.898,0.103,0.167
2020,1,Manufacturing,DevOps,,22.88,123251.93,0.683,0.115,0.201
2020,1,Manufacturing,DataSci,NA,42.25,142312.36,0.874,0.135,0.069
2020,1,Manufacturing,DataSci,EU,30.98,105161.42,0.707,0.081,0.055
2020,1,Manufacturing,DataSci,APAC,24.69,81333.4,0.603,0.136,0.173
2020,1,Manufacturing,DataSci,India,15.05,58540.56,0.641,0.111,0.08
2020,1,Manufacturing,DataSci,,22.84,79562.95,0.837,0.113,0.051
2020,1,Manufacturing,MLE,NA,40.46,180988.36,0.784,0.121,0.131
2020,1,Manufacturing,MLE,EU,31.68,140172.08,0.78,0.116,0.222
2020,1,Manufacturing,MLE,APAC,24.19,106000.58,0.732,0.091,0.197
2020,1,Manufacturing,MLE,India,17.35,73275.55,0.636,0.129,0.177
2020,1,Manufacturing,MLE,,23.46,107267.02,0.682,0.1,0.106
2020,1,Manufacturing,QA-Automation,NA,25.09,132390.38,0.754,0.131,0.168
2020,1,Manufacturing,QA-Automation,EU,18.53,99452.29,0.658,0.149,0.21
2020,1,Manufacturing,QA-Automation,APAC,14.81,76469.85,0.7,0.107,0.11
2020,1,Manufacturing,QA-Automation,India,11.31,52005.75,0.678,0.122,0.081
2020,1,Manufacturing,QA-Automation,,13.51,79625.01,0.658,0.102,0.237
2020,1,Manufacturing,Kubernetes,NA,29.74,191839.72,0.817,0.093,0.165
2020,1,Manufacturing,Kubernetes,EU,22.04,145935.93,0.667,0.115,0.153
2020,1,Manufacturing,Kubernetes,APAC,17.45,114593.87,0.714,0.11,0.082
2020,1,Manufacturing,Kubernetes,India,10.41,77560.27,0.826,0.121,0.218
2020,1,Manufacturing,Kubernetes,,18.19,110371.21,0.748,0.091,0.067
2020,1,Public Sector,Python,NA,27.95,201408.71,0.836,0.099,0.195
2020,1,Public Sector,Python,EU,22.42,148784.4,0.701,0.098,0.155
2020,1,Public Sector,Python,APAC,19.51,118567.66,0.868,0.119,0.201
2020,1,Public Sector,Python,India,12.91,82634.7,0.815,0.101,0.24
2020,1,Public Sector,Python,,17.89,113935.08,0.85,0.094,0.146
2020,1,Public Sector,Java,NA,39.17,137546.86,0.804,0.081,0.151
2020,1,Public Sector,Java,EU,28.88,106994.76,0.873,0.124,0.051
2020,1,Public Sector,Java,APAC,21.55,83066.49,0.791,0.091,0.063
2020,1,Public Sector,Java,India,16.62,57644.0,0.769,0.134,0.188
2020,1,Public Sector,Java,,22.95,78822.07,0.817,0.105,0.081
2020,1,Public Sector,AWS,NA,40.07,141925.62,0.895,0.126,0.129
2020,1,Public Sector,AWS,EU,30.09,107707.19,0.689,0.112,0.177
2020,1,Public Sector,AWS,APAC,23.36,83513.04,0.716,0.137,0.169
2020,1,Public Sector,AWS,India,15.22,58362.41,0.876,0.081,0.184
2020,1,Public Sector,AWS,,21.53,83196.64,0.763,0.124,0.122
2020,1,Public Sector,Azure,NA,45.36,164923.62,0.608,0.127,0.219
2020,1,Public Sector,Azure,EU,32.59,123735.15,0.657,0.113,0.105
2020,1,Public Sector,Azure,APAC,24.43,93939.26,0.669,0.118,0.237
2020,1,Public Sector,Azure,India,18.09,70439.73,0.837,0.117,0.16
2020,1,Public Sector,Azure,,25.9,93634.33,0.603,0.124,0.099
2020,1,Public Sector,React,NA,38.28,145747.45,0.668,0.139,0.16
2020,1,Public Sector,React,EU,28.54,108160.86,0.678,0.111,0.176
2020,1,Public Sector,React,APAC,24.42,83578.92,0.751,0.101,0.105
2020,1,Public Sector,React,India,14.68,61999.85,0.761,0.09,0.09
2020,1,Public Sector,React,,25.39,84708.47,0.711,0.135,0.057
2020,1,Public Sector,DevOps,NA,38.8,207974.0,0.632,0.081,0.234
2020,1,Public Sector,DevOps,EU,28.05,155407.27,0.758,0.111,0.057
2020,1,Public Sector,DevOps,APAC,23.02,119170.58,0.812,0.116,0.121
2020,1,Public Sector,DevOps,India,16.17,82201.4,0.682,0.09,0.181
2020,1,Public Sector,DevOps,,21.19,121374.88,0.826,0.128,0.108
2020,1,Public Sector,DataSci,NA,40.18,140664.64,0.688,0.13,0.179
2020,1,Public Sector,DataSci,EU,31.15,104470.65,0.84,0.096,0.125
2020,1,Public Sector,DataSci,APAC,26.02,81421.83,0.659,0.084,0.058
2020,1,Public Sector,DataSci,India,17.33,54669.13,0.708,0.091,0.191
2020,1,Public Sector,DataSci,,25.02,81944.47,0.611,0.141,0.136
2020,1,Public Sector,MLE,NA,41.14,183174.81,0.625,0.122,0.154
2020,1,Public Sector,MLE,EU,33.79,143361.11,0.778,0.144,0.236
2020,1,Public Sector,MLE,APAC,24.36,109364.13,0.817,0.143,0.144
2020,1,Public Sector,MLE,India,17.43,74542.51,0.873,0.128,0.069
2020,1,Public Sector,MLE,,23.43,110198.64,0.679,0.088,0.05
2020,1,Public Sector,QA-Automation,NA,25.97,128680.72,0.767,0.124,0.234
2020,1,Public Sector,QA-Automation,EU,20.22,101635.67,0.832,0.108,0.088
2020,1,Public Sector,QA-Automation,APAC,13.98,76498.41,0.896,0.137,0.181
2020,1,Public Sector,QA-Automation,India,8.67,54981.41,0.748,0.095,0.242
2020,1,Public Sector,QA-Automation,,16.21,78212.15,0.618,0.097,0.199
2020,1,Public Sector,Kubernetes,NA,28.14,191493.31,0.899,0.127,0.151
2020,1,Public Sector,Kubernetes,EU,23.81,146613.66,0.72,0.107,0.069
2020,1,Public Sector,Kubernetes,APAC,18.42,111685.17,0.886,0.143,0.22
2020,1,Public Sector,Kubernetes,India,10.5,81484.67,0.651,0.131,0.097
2020,1,Public Sector,Kubernetes,,17.49,111241.83,0.651,0.102,0.183
2020,1,Energy,Python,NA,28.42,195541.97,0.622,0.141,0.08
2020,1,Energy,Python,EU,21.64,150774.92,0.729,0.094,0.08
2020,1,Energy,Python,APAC,19.11,119569.06,0.684,0.147,0.19
2020,1,Energy,Python,India,12.43,80330.48,0.751,0.094,0.176
2020,1,Energy,Python,,18.28,116948.14,0.628,0.136,0.128
2020,1,Energy,Java,NA,40.37,135926.2,0.711,0.124,0.21
2020,1,Energy,Java,EU,29.11,107294.85,0.847,0.14,0.186
2020,1,Energy,Java,APAC,24.26,81473.5,0.691,0.114,0.184
2020,1,Energy,Java,India,15.67,56645.31,0.751,0.093,0.194
2020,1,Energy,Java,,24.25,80166.16,0.807,0.105,0.065
2020,1,Energy,AWS,NA,38.39,140639.84,0.773,0.082,0.101
2020,1,Energy,AWS,EU,28.99,109409.05,0.789,0.134,0.085
2020,1,Energy,AWS,APAC,23.95,85607.66,0.62,0.086,0.139
2020,1,Energy,AWS,India,14.81,57017.9,0.806,0.092,0.205
2020,1,Energy,AWS,,22.91,83168.19,0.899,0.139,0.065
2020,1,Energy,Azure,NA,41.88,164582.55,0.749,0.119,0.058
2020,1,Energy,Azure,EU,32.46,127488.71,0.845,0.094,0.201
2020,1,Energy,Azure,APAC,24.37,98057.51,0.816,0.085,0.088
2020,1,Energy,Azure,India,19.9,68856.62,0.871,0.135,0.217
2020,1,Energy,Azure,,26.88,98576.83,0.841,0.088,0.095
2020,1,Energy,React,NA,39.83,146072.3,0.882,0.139,0.225
2020,1,Energy,React,EU,29.17,111060.65,0.819,0.101,0.201
2020,1,Energy,React,APAC,22.35,83126.85,0.733,0.111,0.169
2020,1,Energy,React,India,14.82,60853.8,0.819,0.132,0.172
2020,1,Energy,React,,23.28,85999.89,0.716,0.084,0.21
2020,1,Energy,DevOps,NA,36.47,205938.51,0.8,0.148,0.083
2020,1,Energy,DevOps,EU,29.23,157689.06,0.651,0.135,0.122
2020,1,Energy,DevOps,APAC,21.4,119282.38,0.666,0.094,0.222
2020,1,Energy,DevOps,India,16.09,81996.32,0.746,0.115,0.182
2020,1,Energy,DevOps,,23.41,120470.43,0.861,0.117,0.161
2020,1,Energy,DataSci,NA,42.35,140292.94,0.883,0.099,0.067
2020,1,Energy,DataSci,EU,30.64,108903.21,0.818,0.096,0.162
2020,1,Energy,DataSci,APAC,24.5,82964.68,0.609,0.137,0.165
2020,1,Energy,DataSci,India,17.13,56272.38,0.678,0.086,0.159
2020,1,Energy,DataSci,,25.15,79340.6,0.771,0.144,0.168
2020,1,Energy,MLE,NA,43.03,182841.95,0.711,0.148,0.246
2020,1,Energy,MLE,EU,31.37,140385.22,0.634,0.147,0.067
2020,1,Energy,MLE,APAC,26.44,110352.19,0.748,0.135,0.178
2020,1,Energy,MLE,India,19.02,74041.07,0.624,0.14,0.178
2020,1,Energy,MLE,,23.17,107463.84,0.719,0.109,0.214
2020,1,Energy,QA-Automation,NA,26.68,131977.9,0.627,0.134,0.237
2020,1,Energy,QA-Automation,EU,18.25,101725.53,0.604,0.088,0.115
2020,1,Energy,QA-Automation,APAC,16.17,75695.39,0.89,0.13,0.11
2020,1,Energy,QA-Automation,India,11.05,55990.02,0.774,0.135,0.135
2020,1,Energy,QA-Automation,,16.56,76113.94,0.65,0.086,0.172
2020,1,Energy,Kubernetes,NA,28.54,190294.01,0.693,0.135,0.159
2020,1,Energy,Kubernetes,EU,22.21,145464.09,0.822,0.087,0.139
2020,1,Energy,Kubernetes,APAC,18.41,111537.7,0.812,0.092,0.076
2020,1,Energy,Kubernetes,India,13.59,78168.07,0.824,0.123,0.243
2020,1,Energy,Kubernetes,,15.09,112861.54,0.789,0.108,0.211
2020,1,Retail,Python,NA,29.41,195497.64,0.613,0.132,0.102
2020,1,Retail,Python,EU,21.22,152583.15,0.685,0.123,0.09
2020,1,Retail,Python,APAC,17.47,116646.29,0.835,0.149,0.165
2020,1,Retail,Python,India,13.42,84531.22,0.681,0.128,0.053
2020,1,Retail,Python,,16.0,115601.31,0.857,0.129,0.061
2020,1,Retail,Java,NA,39.31,138201.84,0.833,0.148,0.089
2020,1,Retail,Java,EU,30.1,106750.9,0.876,0.129,0.193
2020,1,Retail,Java,APAC,21.65,78711.27,0.735,0.104,0.18
2020,1,Retail,Java,India,14.36,58588.67,0.823,0.109,0.165
2020,1,Retail,Java,,22.89,82602.56,0.701,0.097,0.144
2020,1,Retail,AWS,NA,37.59,143679.41,0.681,0.098,0.166
2020,1,Retail,AWS,EU,32.1,106955.59,0.747,0.121,0.177
2020,1,Retail,AWS,APAC,23.67,81896.58,0.851,0.145,0.085
2020,1,Retail,AWS,India,17.15,57729.12,0.718,0.095,0.075
2020,1,Retail,AWS,,22.55,82194.37,0.71,0.108,0.225
2020,1,Retail,Azure,NA,42.7,164722.89,0.699,0.145,0.159
2020,1,Retail,Azure,EU,31.41,124408.33,0.672,0.14,0.073
2020,1,Retail,Azure,APAC,23.83,98323.74,0.667,0.105,0.162
2020,1,Retail,Azure,India,16.96,66731.65,0.82,0.124,0.1
2020,1,Retail,Azure,,26.47,99199.41,0.836,0.128,0.165
2020,1,Retail,React,NA,39.0,142116.9,0.768,0.127,0.173
2020,1,Retail,React,EU,30.36,111828.29,0.822,0.121,0.22
2020,1,Retail,React,APAC,22.19,82412.5,0.892,0.082,0.078
2020,1,Retail,React,India,17.01,60130.06,0.745,0.134,0.219
2020,1,Retail,React,,24.19,83523.48,0.614,0.127,0.21
2020,1,Retail,DevOps,NA,37.73,207436.65,0.644,0.129,0.077
2020,1,Retail,DevOps,EU,28.42,156551.7,0.656,0.115,0.13
2020,1,Retail,DevOps,APAC,20.95,121181.58,0.701,0.094,0.09
2020,1,Retail,DevOps,India,16.34,82581.0,0.845,0.133,0.124
2020,1,Retail,DevOps,,23.31,122857.97,0.815,0.124,0.085
2020,1,Retail,DataSci,NA,39.57,141107.5,0.658,0.085,0.222
2020,1,Retail,DataSci,EU,31.26,107315.12,0.882,0.136,0.133
2020,1,Retail,DataSci,APAC,24.63,83089.55,0.782,0.107,0.127
2020,1,Retail,DataSci,India,15.42,56344.17,0.711,0.135,0.105
2020,1,Retail,DataSci,,23.56,84107.05,0.802,0.121,0.197
2020,1,Retail,MLE,NA,40.99,185223.35,0.748,0.117,0.226
2020,1,Retail,MLE,EU,30.74,141111.97,0.851,0.081,0.209
2020,1,Retail,MLE,APAC,25.75,110322.04,0.618,0.087,0.057
2020,1,Retail,MLE,India,15.57,75099.79,0.838,0.085,0.064
2020,1,Retail,MLE,,25.13,106315.03,0.743,0.116,0.095
2020,1,Retail,QA-Automation,NA,23.95,130349.77,0.617,0.146,0.237
2020,1,Retail,QA-Automation,EU,17.42,97205.28,0.726,0.1,0.114
2020,1,Retail,QA-Automation,APAC,16.18,77709.54,0.809,0.141,0.064
2020,1,Retail,QA-Automation,India,9.07,55430.44,0.673,0.101,0.201
2020,1,Retail,QA-Automation,,15.97,76729.4,0.893,0.129,0.213
2020,1,Retail,Kubernetes,NA,28.41,193947.39,0.849,0.14,0.114
2020,1,Retail,Kubernetes,EU,24.06,147618.06,0.888,0.119,0.192
2020,1,Retail,Kubernetes,APAC,15.49,112593.7,0.864,0.143,0.084
2020,1,Retail,Kubernetes,India,12.34,76533.53,0.629,0.107,0.169
2020,1,Retail,Kubernetes,,17.46,113370.53,0.852,0.112,0.105
2020,2,Healthcare,Python,NA,31.64,203600.3,0.602,0.142,0.13
2020,2,Healthcare,Python,EU,22.79,151968.53,0.878,0.084,0.221
2020,2,Healthcare,Python,APAC,17.52,115604.17,0.759,0.098,0.124
2020,2,Healthcare,Python,India,14.43,81931.62,0.858,0.148,0.06
2020,2,Healthcare,Python,,19.67,116765.13,0.873,0.115,0.227
2020,2,Healthcare,Java,NA,39.51,140047.8,0.823,0.135,0.226
2020,2,Healthcare,Java,EU,28.27,105130.12,0.76,0.121,0.091
2020,2,Healthcare,Java,APAC,21.4,84614.68,0.857,0.124,0.162
2020,2,Healthcare,Java,India,17.14,55296.15,0.888,0.092,0.144
2020,2,Healthcare,Java,,23.62,83420.85,0.881,0.144,0.176
2020,2,Healthcare,AWS,NA,39.64,143518.1,0.782,0.094,0.237
2020,2,Healthcare,AWS,EU,30.28,109680.88,0.742,0.098,0.195
2020,2,Healthcare,AWS,APAC,25.26,82139.36,0.65,0.082,0.09
